bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",78,113.2153777,155.5636076,246.2896673,85.51767755,209.9279608,28.13085922,92.49519343,233.5942758
"BMR = 10%: Added, BMR: 0.1",79,123.4133618,179.6911107,214.9472743,91.72533495,229.6246418,27.16790434,79.11195696,181.4433712
"BMR = 10%: Added, BMR: 0.1",80,95.22625384,167.8432399,228.515056,113.6572331,278.1678633,30.48211804,83.78445049,173.1636051
"BMR = 10%: Added, BMR: 0.1",81,68.98713695,151.9433118,266.4006464,81.66291522,236.6441453,37.06471556,87.12834276,182.5465641
"BMR = 10%: Added, BMR: 0.1",82,124.6406819,141.3938788,215.6591628,61.68621604,281.6082696,28.50831818,54.19219887,170.1405009
"BMR = 10%: Added, BMR: 0.1",83,120.6729072,102.7878085,158.4914576,84.76376421,245.4615223,37.04511069,54.19219887,239.1058029
"BMR = 10%: Added, BMR: 0.1",84,72.97383391,101.1171604,202.1747524,72.89552807,224.5921991,39.97693084,68.87797231,176.2664019
"BMR = 10%: Added, BMR: 0.1",85,81.71239944,82.0396763,182.0548766,102.4191756,260.7499593,34.52718269,101.2730216,270.0102495
"BMR = 10%: Added, BMR: 0.1",86,124.782931,91.26484791,143.6395036,111.9073571,215.5042848,33.68694843,75.75466654,260.6924185
"BMR = 10%: Added, BMR: 0.1",87,160.9023383,97.34715103,142.2001027,116.9775012,248.2355366,52.44222046,104.8000932,262.7161324
"BMR = 10%: Added, BMR: 0.1",88,131.4279592,124.6855957,173.3115941,98.01462666,243.4077557,54.52764664,111.5640491,208.142277
"BMR = 10%: Added, BMR: 0.1",89,110.06039,89.09751368,177.9294757,110.7452519,234.5580473,43.47456065,70.65399339,184.6392187
"BMR = 10%: Added, BMR: 0.1",90,95.6768018,131.6359542,177.9294757,137.0865814,218.6273583,44.34741633,94.13218737,246.8040434
"BMR = 10%: Added, BMR: 0.1",91,107.1153055,117.0270552,200.8193342,110.8975703,221.2985875,27.758706,75.62435149,262.6122592
"BMR = 10%: Added, BMR: 0.1",92,115.2316757,141.9902729,210.5246724,81.76881218,230.4778994,33.96950988,65.96126726,262.6122592
"BMR = 10%: Added, BMR: 0.1",93,129.5725294,100.1079888,219.3948636,129.3747159,231.3387355,26.64755514,57.79552357,271.8632419
"BMR = 10%: Added, BMR: 0.1",94,108.4506288,83.91029291,235.9947559,83.24372973,266.7476413,28.96170793,83.59127241,256.7063184
"BMR = 10%: Added, BMR: 0.1",95,150.4513602,98.97638552,251.5832891,72.07212438,234.8993513,24.38302209,68.34634447,246.8073301
"BMR = 10%: Added, BMR: 0.1",96,148.9992308,87.0712835,211.1114457,66.16073607,251.7451244,23.72195488,93.40806682,187.5814325
"BMR = 10%: Added, BMR: 0.1",97,133.098642,105.8745465,232.6516189,98.42184737,245.8981689,28.00900273,95.75303423,181.4781347
"BMR = 10%: Added, BMR: 0.1",98,117.5564943,88.33308276,263.8560901,88.60013477,256.2883611,35.59912813,84.2829665,158.3362441
"BMR = 10%: Added, BMR: 0.1",99,111.1696524,88.50932319,260.4730834,105.878012,257.6844459,34.81838601,84.26164051,199.6829589
"BMR = 10%: Added, BMR: 0.1",100,103.4576361,91.53000999,230.6676198,126.490282,248.5615718,32.27628254,90.46527876,227.3933984
"BMR = 10%: Added, BMR: 0.1",101,109.2611577,111.7166824,260.1138452,82.91844474,265.0679278,28.48827441,100.5785274,190.2754638
"BMR = 10%: Added, BMR: 0.1",102,136.2968236,163.2907081,193.9142991,130.0013954,250.9460972,34.1174112,86.88749866,174.1918098
"BMR = 10%: Added, BMR: 0.1",103,136.6241782,105.9189685,214.888701,84.52495322,233.8187499,32.94305694,71.30384877,167.8347523
"BMR = 10%: Added, BMR: 0.1",104,109.0759287,135.0132851,225.5235362,133.7643809,300.158376,26.70772664,71.30384877,242.0438262
"BMR = 10%: Added, BMR: 0.1",105,120.8898756,116.9521603,230.5168501,96.41705473,256.6270232,23.78313994,103.4221883,238.836223
"BMR = 10%: Added, BMR: 0.1",106,115.326344,89.27672647,207.9203822,102.0137382,256.6270232,29.30790363,75.754336,196.8207297
"BMR = 10%: Added, BMR: 0.1",107,94.06229046,150.952038,196.0550612,84.08227846,268.4468625,39.10089898,69.13456756,208.9263594
"BMR = 10%: Added, BMR: 0.1",108,125.8798937,117.4673905,281.5725689,94.38459241,264.6898866,48.54948765,70.80345193,220.2119557
"BMR = 10%: Added, BMR: 0.1",109,115.1671671,91.61825051,198.2046627,91.67560227,274.8041311,41.72843271,75.74558745,188.8934202
"BMR = 10%: Added, BMR: 0.1",110,106.207339,129.4990937,202.8254207,116.8634927,290.086325,24.18531795,62.62177626,207.6569621
"BMR = 10%: Added, BMR: 0.1",111,95.57480659,90.64183355,251.1197225,114.7978853,290.086325,31.9370394,80.21063501,211.1107579
"BMR = 10%: Added, BMR: 0.1",112,100.1006678,95.03997641,229.3209463,91.4823141,290.086325,29.4866303,90.85888565,235.8732078
"BMR = 10%: Added, BMR: 0.1",113,118.81203,118.6020558,168.6391076,96.11499197,290.086325,27.04556668,82.31586589,207.8605499
"BMR = 10%: Added, BMR: 0.1",114,109.3644265,149.2502286,206.6589629,89.70224455,282.6785874,45.44067359,82.97671069,259.7270387
"BMR = 10%: Added, BMR: 0.1",115,148.4923374,131.1698323,207.2044642,85.39163453,289.3272949,45.35754975,99.82952883,202.9006695
"BMR = 10%: Added, BMR: 0.1",116,154.904521,127.8254092,233.6554392,76.02646305,276.887239,45.37797354,71.965604,195.8852827
"BMR = 10%: Added, BMR: 0.1",117,139.3204704,138.2973104,262.1258598,71.61787676,275.0194006,29.91750548,72.32686789,188.3145567
"BMR = 10%: Added, BMR: 0.1",118,145.3460984,115.4146604,154.6425053,99.8549466,275.8201701,42.29701393,55.89309094,201.0762614
"BMR = 10%: Added, BMR: 0.1",119,134.2329799,110.6686609,143.0000077,87.38034482,265.0323698,41.10356008,114.6376862,196.6128647
"BMR = 10%: Added, BMR: 0.1",120,109.1613606,116.9225505,175.2515731,106.2955669,267.3003222,31.07918693,63.31793569,194.5298347
"BMR = 10%: Added, BMR: 0.1",121,102.8611499,126.2420936,144.9907287,99.55504129,262.3387567,31.62426927,81.83123213,219.1352823
"BMR = 10%: Added, BMR: 0.1",122,149.6354572,134.9151167,157.4713288,79.1782082,183.7567118,29.81592516,88.08027264,219.1055804
"BMR = 10%: Added, BMR: 0.1",123,93.5925655,126.5244953,261.3670531,101.4651032,188.872069,33.76994271,91.38780125,210.5855026
"BMR = 10%: Added, BMR: 0.1",124,142.2568215,109.0010298,237.2657306,102.2945308,234.8591396,28.69926133,73.39330235,216.2199204
"BMR = 10%: Added, BMR: 0.1",125,133.5996423,116.9383319,245.4183821,93.67677653,204.6738734,41.97605766,88.74040891,216.2199204
"BMR = 10%: Added, BMR: 0.1",126,141.0886496,155.6364833,245.0865767,87.59579209,250.9474551,29.17864434,77.44145535,234.4662302
"BMR = 10%: Added, BMR: 0.1",127,120.5056038,104.8579946,232.8633544,111.2070232,254.2155481,22.26298308,63.73852785,186.628825
"BMR = 10%: Added, BMR: 0.1",128,149.8259785,115.818293,282.7383371,111.2070232,242.1019553,24.12086727,82.00704818,214.5343555
"BMR = 10%: Added, BMR: 0.1",129,123.4389719,143.2904941,253.9372068,82.01530928,285.5199224,32.50068371,70.48004933,224.4607174
"BMR = 10%: Added, BMR: 0.1",130,130.5340085,125.8487605,234.7193049,100.0893273,258.5999686,31.1642538,101.0049549,283.4078491
"BMR = 10%: Added, BMR: 0.1",131,107.2429052,155.3878394,243.1296109,87.99740561,275.4655338,38.21380397,73.03325402,211.9245254
"BMR = 10%: Added, BMR: 0.1",132,119.9508359,102.3846334,228.0174064,79.28551186,278.5970391,29.43312623,68.17607039,261.8748287
"BMR = 10%: Added, BMR: 0.1",133,133.2543106,114.2157453,228.0174064,76.95155095,280.5231218,25.7335913,98.41394107,265.9945764
"BMR = 10%: Added, BMR: 0.1",134,139.459969,143.9907207,244.0709976,93.26539701,271.5950035,26.1134524,82.5833558,265.9945764
