model,index,a,b,c,g
Logistic,390,-3.14976,38.4863,,
Logistic,391,-3.14976,38.4863,,
Logistic,392,-3.14976,38.4863,,
Logistic,393,-3.52989,33.2264,,
Logistic,394,-2.64089,29.8109,,
Logistic,395,-2.99555,33.9339,,
Logistic,396,-2.99501,38.8302,,
Logistic,397,-3.07597,39.0515,,
Logistic,398,-3.1753,36.5011,,
Logistic,399,-3.0954,33.6081,,
Logistic,400,-1.98323,31.8209,,
Logistic,401,-2.01107,27.3379,,
Logistic,402,-3.07482,30.7697,,
Logistic,403,-2.39035,27.0092,,
Logistic,404,-2.68289,29.2575,,
Logistic,405,-2.74875,30.3611,,
Logistic,406,-2.77461,37.1568,,
Logistic,407,-3.30928,34.9855,,
Logistic,408,-3.62132,37.1145,,
Logistic,409,-3.87643,36.9035,,
Logistic,410,-3.87643,36.9035,,
Logistic,411,-3.86041,35.9204,,
Logistic,412,-3.75502,33.5501,,
Logistic,413,-2.40209,31.7517,,
Logistic,414,-2.1878,18.0193,,
Logistic,415,-2.11533,20.3542,,
Logistic,416,-2.474,22.418,,
Logistic,417,-2.02573,23.0492,,
Logistic,418,-2.01925,26.0462,,
Logistic,419,-2.43086,24.547,,
Logistic,420,-2.18499,28.3542,,
Logistic,421,-2.66691,22.4182,,
Logistic,422,-2.43716,20.9167,,
Logistic,423,-1.81337,18.7763,,
Logistic,424,-1.91426,21.9569,,
Logistic,425,-1.12738,21.438,,
Logistic,426,-2.61066,25.8661,,
Logistic,427,-1.95033,17.7275,,
Logistic,428,-1.68372,17.533,,
Logistic,429,-2.29324,29.4643,,
Logistic,430,-2.7251,34.101,,
Logistic,431,-2.71674,34.4235,,
Logistic,432,-2.8067,32.2487,,
Logistic,433,-3.6043,36.2626,,
Logistic,434,-3.38007,39.3033,,
Logistic,435,-3.041,37.5163,,
Logistic,436,-3.02304,37.4056,,
Logistic,437,-3.33866,39.1589,,
Logistic,438,-3.33866,39.1589,,
Logistic,439,-1.62278,16.198,,
Logistic,440,-2.23697,15.8667,,
Logistic,441,-1.05716,14.1513,,
Logistic,442,-1.04547,14.9323,,
Logistic,443,-1.27492,15.7746,,
Logistic,444,-1.07643,16.3107,,
Logistic,445,-1.0186,16.1444,,
Logistic,446,-1.53922,22.8002,,
Logistic,447,-0.988019,21.5751,,
Logistic,448,-1.27772,16.2892,,
Logistic,449,-1.43947,15.1607,,
Logistic,450,-1.59624,20.9185,,
Logistic,451,-2.13611,20.334,,
Logistic,452,-0.881655,15.231,,
Logistic,453,-1.4036,22.7486,,
Logistic,454,-2.69995,24.6167,,
Logistic,455,-2.41718,21.7525,,
Logistic,456,-2.36802,27.8553,,
Logistic,457,-1.44926,17.0325,,
Logistic,458,-2.48535,21.2845,,
Logistic,459,-2.36929,29.2144,,
Logistic,460,-2.90247,24.388,,
Logistic,461,-2.77358,24.5391,,
Logistic,462,-2.64827,28.9492,,
Logistic,463,-1.31056,23.27,,
Logistic,464,-1.32932,21.0342,,
Logistic,465,-1.56772,22.9429,,
Logistic,466,-3.87629,37.6808,,
Logistic,467,-3.51634,36.4474,,
Logistic,468,-3.50592,30.9213,,
Logistic,469,-4.13533,30.3659,,
Logistic,470,-3.98893,30.771,,
Logistic,471,-3.74173,31.5052,,
Logistic,472,-3.68564,32.109,,
Logistic,473,-3.50773,30.8427,,
Logistic,474,-2.782,31.6396,,
Logistic,475,-2.56983,29.457,,
Logistic,476,-3.17072,31.6919,,
Logistic,477,-2.45856,31.9173,,
Logistic,478,-1.45778,27.9282,,
Logistic,479,-3.73379,32.2178,,
Logistic,480,-3.47206,34.2594,,
Logistic,481,-3.47206,34.2594,,
Logistic,482,-2.37903,34.1063,,
Logistic,483,-2.37903,34.1063,,
Logistic,484,-2.93909,33.1758,,
Logistic,485,-2.78153,29.5875,,
Logistic,486,-1.97799,25.3023,,
Logistic,487,-2.86324,30.7401,,
Logistic,488,-2.54684,31.7604,,
Logistic,489,-2.54587,32.0454,,
Logistic,490,-2.86949,29.09,,
Logistic,491,-2.00439,18.698,,
Logistic,492,-2.45806,26.6321,,
Logistic,493,-2.38996,26.07,,
Logistic,494,-2.1617,27.098,,
Logistic,495,-2.07212,28.1643,,
Logistic,496,-2.29588,28.9884,,
Logistic,497,-2.88077,34.8087,,
Logistic,498,-2.6175,30.5063,,
Logistic,499,-2.72747,30.1343,,
Logistic,500,-2.78372,33.0508,,
Logistic,501,-2.76321,32.563,,
Logistic,502,-2.2812,25.3138,,
Logistic,503,-2.52262,29.9244,,
Logistic,504,-2.80836,26.8452,,
Logistic,505,-2.27112,35.1681,,
Logistic,506,-3.14146,26.7853,,
Logistic,507,-3.21588,26.5077,,
Logistic,508,-2.18918,35.4687,,
Logistic,509,-2.25396,36.5142,,
Logistic,510,-2.71423,27.9192,,
Logistic,511,-2.71713,23.7321,,
Logistic,512,-2.65285,28.181,,
Logistic,513,-2.45906,30.6778,,
Logistic,514,-2.11625,28.3769,,
Logistic,515,-2.03989,29.8327,,
Logistic,516,-2.2637,26.6816,,
Logistic,517,-2.08472,22.9678,,
Logistic,518,-2.85349,34.8278,,
Logistic,519,-1.81787,23.2748,,
Logistic,520,-1.29482,18.3777,,
Logistic,521,-2.43861,22.5256,,
Logistic,522,-2.56722,35.9458,,
Logistic,523,-1.94435,20.5243,,
Logistic,524,-2.47233,30.9726,,
Logistic,525,-2.26026,23.6497,,
Logistic,526,-2.51971,31.2644,,
Logistic,527,-2.01765,26.2476,,
Logistic,528,-1.63695,22.0972,,
Logistic,529,-1.5698,21.2438,,
Logistic,530,-1.71668,26.586,,
Logistic,531,-2.50751,28.83,,
Logistic,532,-3.24576,36.4088,,
Logistic,533,-3.24576,36.4088,,
Logistic,534,-2.27042,25.7997,,
Logistic,535,-2.29081,31.9323,,
Logistic,536,-2.39846,31.9419,,
Logistic,537,-2.23852,31.5647,,
Logistic,538,-2.69172,32.3245,,
Logistic,539,-2.71866,37.9353,,
Logistic,540,-2.71866,37.9353,,
Logistic,541,-2.93511,32.4481,,
Logistic,542,-3.10692,31.7916,,
Logistic,543,-2.29539,34.6093,,
Logistic,544,-2.22135,31.4113,,
Logistic,545,-1.93723,29.6449,,
Logistic,546,-2.25327,24.2921,,
Logistic,547,-2.14318,22.6584,,
Logistic,548,-2.51598,24.7826,,
Logistic,549,-1.10918,14.8013,,
Logistic,550,-1.35058,20.8789,,
Logistic,551,-2.82197,26.4848,,
Logistic,552,-1.96225,27.8126,,
Logistic,553,-2.3227,28.7785,,
Logistic,554,-3.1163,28.784,,
Logistic,555,-2.37993,33.6784,,
Logistic,556,-2.31264,35.1443,,
Logistic,557,-1.96211,22.6806,,
Logistic,558,-2.18334,27.2895,,
Logistic,559,-2.0289,23.8291,,
Logistic,560,-2.21027,24.7497,,
Logistic,561,-1.25522,19.1127,,
Logistic,562,-1.51507,13.6837,,
Logistic,563,-1.35027,18.1599,,
Logistic,564,-1.54232,16.1052,,
Logistic,565,-1.53301,16.0552,,
Logistic,566,-1.7171,14.807,,
Logistic,567,-1.16397,16.6089,,
Logistic,568,-1.57931,22.3206,,
Logistic,569,-1.6486,24.611,,
Logistic,570,-3.58663,36.1931,,
Logistic,571,-3.93012,33.4496,,
Logistic,572,-3.31665,35.9373,,
Logistic,573,-3.4934,37.3733,,
Logistic,574,-3.66148,34.6426,,
Logistic,575,-3.61362,35.1516,,
Logistic,576,-3.67551,32.6699,,
Logistic,577,-3.51843,31.1818,,
Logistic,578,-3.42819,30.855,,
Logistic,579,-3.08432,28.426,,
Logistic,580,-3.43553,31.9888,,
Logistic,581,-3.02368,33.9512,,
Logistic,582,-2.79358,32.1169,,
Logistic,583,-3.59976,38.0309,,
Logistic,584,-2.2681,26.684,,
Logistic,585,-2.2219,28.5966,,
Logistic,586,-2.90338,27.6605,,
Logistic,587,-2.50472,25.261,,
Logistic,588,-2.55924,28.6633,,
Logistic,589,-3.17982,37.3555,,
Logistic,590,-3.17982,37.3555,,
Logistic,591,-2.42522,23.1874,,
Logistic,592,-2.81134,32.9441,,
Logistic,593,-2.69214,34.113,,
Logistic,594,-2.87528,33.2719,,
Logistic,595,-2.47844,27.7154,,
Logistic,596,-1.55331,24.2929,,
Logistic,597,-1.81981,23.9896,,
Logistic,598,-2.14798,26.4174,,
Logistic,599,-2.53043,26.5749,,
Logistic,600,-2.03847,20.9375,,
Logistic,601,-1.71819,19.5754,,
Logistic,602,-1.5166,21.0564,,
Logistic,603,-2.04635,21.0371,,
Logistic,604,-1.78595,21.0151,,
Logistic,605,-1.73443,23.0887,,
Logistic,606,-1.51489,22.0121,,
Logistic,607,-1.63636,24.9966,,
Logistic,608,-2.19784,22.34,,
Logistic,609,-1.50556,20.2759,,
Logistic,610,-2.91038,33.6135,,
Logistic,611,-3.13765,30.9754,,
Logistic,612,-3.09422,31.1807,,
Logistic,613,-2.25684,32.895,,
Logistic,614,-2.58329,22.1142,,
Logistic,615,-2.5794,27.8074,,
Logistic,616,-2.53104,34.3802,,
Logistic,617,-2.91476,29.7371,,
Logistic,618,-2.73591,34.5574,,
Logistic,619,-3.53215,35.5907,,
Logistic,620,-3.42506,37.5282,,
Logistic,621,-3.42506,37.5282,,
Logistic,622,-2.55142,28.5646,,
Logistic,623,-2.25399,30.5255,,
Logistic,624,-2.20891,28.1207,,
Logistic,625,-3.03946,31.5953,,
Logistic,626,-1.91689,24.6823,,
Logistic,627,-1.77421,23.0483,,
Logistic,628,-1.88219,18.0404,,
Logistic,629,-1.88125,18.5233,,
Logistic,630,-3.00556,32.0963,,
Logistic,631,-3.51286,38.718,,
Logistic,632,-3.77363,39.8271,,
Logistic,633,-3.77363,39.8271,,
Logistic,634,-3.32773,37.9629,,
Logistic,635,-2.77867,28.5559,,
Logistic,636,-2.70421,32.4309,,
Logistic,637,-1.9843,25.9395,,
Logistic,638,-2.52176,21.6714,,
Logistic,639,-1.46296,19.7784,,
Logistic,640,-2.13626,25.8065,,
Logistic,641,-2.17401,24.4326,,
Logistic,642,-2.19513,31.4285,,
Logistic,643,-2.54546,31.3086,,
Logistic,644,-3.0658,27.8281,,
Logistic,645,-2.46406,32.16,,
Logistic,646,-2.39326,36.2078,,
Logistic,647,-3.18927,31.4823,,
Logistic,648,-3.1235,34.123,,
Logistic,649,-2.56398,30.6672,,
Logistic,650,-2.3012,21.8416,,
Logistic,651,-1.80768,19.2863,,
Logistic,652,-2.24364,19.8694,,
Logistic,653,-1.94889,30.72,,
Logistic,654,-3.31314,25.5431,,
Logistic,655,-2.66358,29.8427,,
Logistic,656,-1.98516,22.9593,,
Logistic,657,-2.96977,25.2902,,
Logistic,658,-2.49031,31.934,,
Logistic,659,-2.23949,22.9449,,
Logistic,660,-2.70821,34.2126,,
Logistic,661,-2.59441,25.4665,,
Logistic,662,-2.7601,29.7804,,
Logistic,663,-2.74034,29.5609,,
Logistic,664,-2.98515,32.9747,,
Logistic,665,-2.68914,31.1606,,
Logistic,666,-2.90552,38.8257,,
Logistic,667,-3.25557,32.1266,,
Logistic,668,-1.69764,25.2475,,
Logistic,669,-2.90703,28.7234,,
Logistic,670,-3.09198,39.3562,,
Logistic,671,-3.39397,34.7553,,
Logistic,672,-3.26077,37.4735,,
Logistic,673,-3.26077,37.4735,,
Logistic,674,-3.26077,37.4735,,
Logistic,675,-3.73412,40.2193,,
Logistic,676,-3.73412,40.2193,,
Logistic,677,-3.73412,40.2193,,
Logistic,678,-3.73412,40.2193,,
Logistic,679,-3.73412,40.2193,,
Logistic,680,-3.21534,37.9316,,
Logistic,681,-3.44739,32.2877,,
Logistic,682,-2.37937,24.6873,,
Logistic,683,-2.65173,23.7598,,
Logistic,684,-2.34443,24.6267,,
Logistic,685,-2.01378,26.6379,,
Logistic,686,-2.30918,28.539,,
Logistic,687,-2.21019,32.2626,,
Logistic,688,-2.83065,29.9013,,
Logistic,689,-2.07337,22.9762,,
Logistic,690,-1.59526,19.2489,,
Logistic,691,-2.3877,26.7401,,
Logistic,692,-2.3877,26.7401,,
Logistic,693,-2.68659,28.1594,,
Logistic,694,-2.05041,26.6394,,
Logistic,695,-1.95307,19.6758,,
Logistic,696,-2.29635,25.9224,,
Logistic,697,-2.89078,23.3234,,
Logistic,698,-1.96139,27.6828,,
Logistic,699,-2.06926,19.1731,,
Logistic,700,-3.88625,35.5811,,
Logistic,701,-3.86369,36.2949,,
