bmr,index,model_average,Logistic,LogLogistic,Probit,QuantalLinear,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",124,16.51267043,20.51030039,32.18383642,22.66766507,6.211729021,45.01799925
"BMR = 10%: Added, BMR: 0.1",125,15.07455578,23.898312,59.47237425,28.05240497,6.667477979,48.17046693
"BMR = 10%: Added, BMR: 0.1",126,21.41203276,22.96648682,30.00576606,29.2802749,7.648700533,59.128728
"BMR = 10%: Added, BMR: 0.1",127,33.29906863,23.06743129,26.11839238,27.75180543,6.846238412,67.42736917
"BMR = 10%: Added, BMR: 0.1",128,17.35644122,24.4916559,13.46392135,37.5762757,8.814143171,24.38483486
"BMR = 10%: Added, BMR: 0.1",129,24.82894392,22.14901445,26.27548987,36.5305424,5.623663201,56.89813635
"BMR = 10%: Added, BMR: 0.1",130,32.92029891,21.76724638,12.96232963,38.22407654,9.722188543,67.49526431
"BMR = 10%: Added, BMR: 0.1",131,33.19170168,21.72210876,21.61431205,35.32632278,5.469724046,43.8090406
"BMR = 10%: Added, BMR: 0.1",132,18.60562901,30.40471798,30.04065714,25.56544999,6.457105687,43.8090406
"BMR = 10%: Added, BMR: 0.1",133,20.54517403,24.9804336,81.08464468,26.90926596,4.246415492,43.8090406
"BMR = 10%: Added, BMR: 0.1",134,24.20538943,30.15312148,84.00746533,24.35974421,4.587803156,65.59433956
"BMR = 10%: Added, BMR: 0.1",135,29.91343306,23.09893278,49.9381793,26.67714511,5.212343595,69.61435813
"BMR = 10%: Added, BMR: 0.1",136,24.91547146,25.56887349,30.18688699,28.11531262,7.433618716,58.56665861
"BMR = 10%: Added, BMR: 0.1",137,38.6550442,22.27062063,47.46910464,28.15738959,5.881695148,18.38391763
"BMR = 10%: Added, BMR: 0.1",138,27.48861404,23.47157929,24.05904322,28.23506639,6.30599277,19.21151204
"BMR = 10%: Added, BMR: 0.1",139,23.32905395,23.47157929,27.6775147,26.83868287,8.679196809,27.84551536
"BMR = 10%: Added, BMR: 0.1",140,31.8634888,25.12166032,13.34787249,27.49757433,5.760954773,51.88625286
"BMR = 10%: Added, BMR: 0.1",141,22.2050574,22.19342868,18.25853415,25.06026084,6.618826947,36.83230268
"BMR = 10%: Added, BMR: 0.1",142,22.38375965,23.9215832,25.17956962,23.98505643,7.222613682,18.42207341
"BMR = 10%: Added, BMR: 0.1",143,38.22373,21.62437439,31.01542,21.53273835,7.851418797,59.50963108
"BMR = 10%: Added, BMR: 0.1",144,18.86926913,25.15498488,45.43378588,22.9995192,6.093458482,29.75722858
"BMR = 10%: Added, BMR: 0.1",145,27.64876454,34.36240603,59.78458673,27.49754736,7.719031596,39.97858704
"BMR = 10%: Added, BMR: 0.1",146,28.49306158,31.27083082,36.13257546,27.92034051,8.171444907,11.78302995
"BMR = 10%: Added, BMR: 0.1",147,16.18727005,37.07164677,26.31575958,28.13276589,6.411801125,22.14329765
"BMR = 10%: Added, BMR: 0.1",148,22.47008074,21.68173129,34.95045783,22.12568594,7.730338428,30.6050521
"BMR = 10%: Added, BMR: 0.1",149,25.63893668,16.45094761,61.75235933,21.94642444,7.368439663,32.46341544
"BMR = 10%: Added, BMR: 0.1",150,29.32123992,19.6892361,58.68837321,23.56370875,5.400529602,42.25408556
"BMR = 10%: Added, BMR: 0.1",151,30.45540989,23.65352545,56.62112195,25.08632882,5.643008256,14.19925917
"BMR = 10%: Added, BMR: 0.1",152,27.38990369,24.28317977,50.63726447,29.13283724,6.933482781,6.753300748
"BMR = 10%: Added, BMR: 0.1",153,30.28977974,19.27590828,16.49549076,28.66460919,8.467041064,17.25129233
"BMR = 10%: Added, BMR: 0.1",154,16.3215473,22.48598352,54.7004013,32.01849024,9.751974928,27.21030599
"BMR = 10%: Added, BMR: 0.1",155,23.27616456,30.51268028,50.03570037,30.94256267,10.0868762,26.48241248
"BMR = 10%: Added, BMR: 0.1",156,25.73641054,24.60421294,37.71261805,25.62835768,6.262524203,65.09934498
"BMR = 10%: Added, BMR: 0.1",157,19.92675536,30.13025544,29.65797752,23.73790777,6.52645261,78.08694172
"BMR = 10%: Added, BMR: 0.1",158,20.14299505,20.28523255,18.84702096,22.85464161,6.589663777,20.94793149
"BMR = 10%: Added, BMR: 0.1",159,25.13568211,18.5146996,18.5496947,24.4961493,6.101854336,16.81838115
"BMR = 10%: Added, BMR: 0.1",160,22.20849069,25.27453681,41.14961161,23.9141017,5.78037742,40.27431215
"BMR = 10%: Added, BMR: 0.1",161,18.08275418,21.76229501,36.52916874,23.9141017,5.126920661,19.57147996
"BMR = 10%: Added, BMR: 0.1",162,25.77002538,20.19871496,23.82311196,23.9141017,9.511100705,71.02981495
"BMR = 10%: Added, BMR: 0.1",163,34.19968106,24.35358574,15.1030009,23.9141017,8.510333812,48.24140679
"BMR = 10%: Added, BMR: 0.1",164,35.91890881,25.37962136,31.54766741,23.61003584,8.821326834,49.53187899
"BMR = 10%: Added, BMR: 0.1",165,28.84436419,21.69781153,31.52867689,24.00792811,7.823597395,40.45675363
